rho,cl,stability,resid,standard,reversed,difference
0.3,0,0.75,0.3,-3.298550870054365e-4,0.0455055195954045,-0.19440625098639597
0.3,0,0.75,0.6,-0.0015591934405378347,0.1251280599281869,-0.11765132622317107
0.3,0,0.75,0.8999999999999999,-0.001022546080428331,0.18507344077440888,-0.08154929995746955
0.3,0,1,0.3,8.652765227884506e-4,0.026528300354341623,0.0022770408622307865
0.3,0,1,0.6,8.222152717944764e-4,0.08485782006968574,7.88737093549537e-4
0.3,0,1,0.8999999999999999,0.0015276180745191891,0.13984250777449855,7.416199115649425e-4
0.3,0.25,0,0.3,0.24960330965789676,0.30100476851597974,-0.050554457906534365
0.3,0.25,0,0.6,0.25146604522527183,0.30037443602914765,-0.042939330376204725
0.3,0.25,0,0.8999999999999999,0.2506095421809338,0.294202997691004,-0.033362553846092505
0.3,0.25,0.25,0.3,0.25109522062625356,-0.20752151735667365,0.03495933833305408
0.3,0.25,0.25,0.6,0.2482212169804063,0.12468132171360191,0.02463015665680923
0.3,0.25,0.25,0.8999999999999999,0.25209750341801396,0.21172849714221187,0.025489963199749385
0.3,0.25,0.5,0.3,0.24867881184507026,-0.27128548171044975,0.17195394731322053
0.3,0.25,0.5,0.6,0.2474319320723538,-0.008632678497350907,0.1247419757175065
0.3,0.25,0.5,0.8999999999999999,0.2527317417744891,0.12289186992181628,0.10055712835365117
0.3,0.25,0.75,0.3,0.24924417892797968,-0.2381673119063619,0.4160755875084113
0.3,0.25,0.75,0.6,0.2503671083148245,-0.07264316352336186,0.2624974626887422
0.3,0.25,0.75,0.8999999999999999,0.24769060661972306,0.05659031649750397,0.18155966926687453
0.3,0.25,1,0.3,0.24964666575958905,-0.20047990805110996,0.6376256882958163
0.3,0.25,1,0.6,0.249160122709469,-0.0924920864129701,0.3857146402776452
0.3,0.25,1,0.8999999999999999,0.25111968930891654,0.00949952127989812,0.2687822795296756
0.3,0.5,0,0.3,0.49871881504418664,0.2923980915573373,0.19431118491792002
